nom;Entreprise;Marche;Reponse;Cours;Total actifs;Autres actifs;Capitaux propres;Effectif ;Resultat net;Actifs fi non courant;CA annuel;Cout endettement financier net;Creances clients cmptes rat;Dettes fi courantes;Dettes fi non courantes;Ecart daquisition;Fournisseurs cmptes rat;Immo corp;Immo incorp;Marge ope;Prod acti ordi;Provision risques charges non courant;Resultat ope;Ratio endet;Rent fi;Stocks trav en cours;Treso
Safran;SAF;CAC40;1;40.165;0.334066672759646;2.93165753923269;0.170406584364573;0.145740573301695;24.2164824312476;2.5136925777326;0.425858198364478;-0.0634920634920635;0.199150509209581;0.534603773833442;0.245924308066734;0.148370871345013;0.250907683357551;0.16830628976381;1.05057373743693;9.34493972538307;0.406450033118165;1.17448517218853;0.85901421629719;-0.0325739599448027;25.8817718270385;0.179118690150664;0.401417713388267
Sanofi;SAN;CAC40;1;21.8;0.0235954867358131;0.970371762847861;0.0326656700867744;0.0170420561431023;-0.243223394071672;1.73232505140203;0.0372626293407209;0.158400586128517;-0.0768710561435969;0.995497389123418;0.092055639716542;0.0399192176357589;0.204829704633325;-0.0759931581968869;-0.611803285196762;15.1359774995492;-0.00192699474195284;-0.0367008727361353;0.0300927428040861;-0.351725866139646;-0.270299193569834;0.0760236735242199;0.976497571169578
Saint Gobain;SGO;CAC40;1;10.18;-0.0289363265724687;0.308086123834962;0.0605592050022645;-0.127204041493584;0.308793739368981;0.788445208704421;-0.0594249109918933;0.178564994018068;-0.114111156738281;0.248249344697791;-0.101752616397555;-0.0315039852407755;-0.048700449718229;-0.197452928153339;-0.129020187391692;1.5315794933256;-0.0594249109918933;-0.0947756027029078;-0.543113549138542;-0.43352536487016;0.210387909328894;-0.117798614892591;0.803534459179217
Schneider Electric;SU;CAC40;1;11.88;0.177751381223292;0.289881082470393;0.294694691508407;0.270457885614671;-0.190087792647967;0.95721950848376;0.180285531431655;0.00368901580836012;0.0864187133540645;0.722373416158629;-0.0814886902462169;0.369432971402846;0.0588019916876395;0.0615047582483122;0.0260130814763305;6.90344571907841;0.180285531431655;0.546153159402732;-0.210340822841394;-0.28760738590593;-0.449655496204688;-0.095104534377621;0.438947876211909
Sodexo;SW;CAC40;1;34.67;0.255064379723051;0.403209083429751;0.410379403529919;0.0811196389470417;0.529892059562826;0.574185838081635;0.224386266351701;-0.00468650810401008;0.180702778569623;2.89297785186049;0.353257686661671;0.23048692418813;1.07120555269083;0.157722980636973;0.0383066808291181;4.83148785225536;0.224386266351701;0.475152129595234;0.344580740347852;2.90437455123125;0.0830056573762532;0.086871418269803;0.701199448962644
Technip;TEC;CAC40;0;-26.91;0.188543537150764;-0.254817607000386;0.219605916092556;0.253036042393636;-0.96649879796594;3.77276162559969;0.629297192523637;-1.36702152444596;0.766109435096492;2.29547996478917;0.184630792132379;0.297899382988725;0.785969761836308;0.11524438308375;0.61476204342148;0.630196585422987;0.447394266023661;0.708560281932817;-0.473915213271551;-4.53840071383287;-1.13858866332054;0.596587573721668;0.146369511337432
Peugeot;UG;CAC40;0;6.22;-0.273546506280523;-0.328212332573263;-0.0235780893068362;-0.0949290098708397;-2.81670274759931;0.429672191878264;-0.0879870265340396;-0.792970749175096;-0.257482359206497;-1.08264792839444;-0.482255863228628;-0.130867302964791;-0.0757958951944389;-0.240569249862427;-0.0935242873037635;-1.2783142067004;-0.0879870265340396;0.836776677640851;3.50853189346157;2.2112125027655;-5.5742706723459;-0.456242279073071;0.629797312458334
Veolia Environ.;VIE;CAC40;1;13.236;-0.365894033060349;-0.228067198395414;-0.131437945570661;-0.503791671414077;16.6835370459148;0.185574635932237;-0.133448074380889;0.339402750028713;-0.238614102242144;0.0850831447895773;-0.680912371136627;-0.307697537108625;-0.136726786667329;-0.116136701823192;-0.174827612158341;-0.303435264192188;-0.326642692817131;-0.129863278443346;-1.15158632397657;-0.379280670504077;17.2730729864687;-0.0164460187235397;-0.465031790329506
Arkema;AKE;NEXT20;1;10.67;0.551670482185265;0.140084061575611;0.685149231485993;0.101115158727391;16.1900104491472;0.244839472740232;0.305506778816744;-0.916853565087375;0.269655327408161;0.365491450826135;1.52097387684318;0.551362571825037;0.313351272014857;0.504306243296838;6.06785307850772;4.81549872200236;0.30434010860277;1.32994793132564;-0.212673571;6.65239112501659;15.0008061587387;0.193438103658707;2.14233796449741
Alstom;ALO;NEXT20;0;5.105;0.120645986211166;2.63000168383405;0.0467800731048147;-0.105363242457689;-1.9287546481876;0.193105207829381;-0.679287156981712;-0.881406896672283;-0.028288365733074;3.12442518904477;-0.126857271912242;-0.889994487133384;0.0802304584313708;-0.644866657789595;-0.722476999689306;-10.1617407550666;-0.726402710338659;-0.66730713822654;-1.256454285;0.902820774601242;-2.42965312177538;-1.14163194330094;-0.429933566547396
Atos;ATO;NEXT20;1;43.185;0.877752783354671;1.0123897623086;0.84191365882489;0.689038255515114;1.02060519916806;0.761197353233404;0.503656286832572;-0.190667983144904;0.693212906421343;1.93147993198002;0.600245427784847;0.569202790632086;1.31560882836385;0.745316301592821;5.60632729957229;4.11037859186195;0.679865275940927;1.00681239236545;0.983743037;-4.98983998746399;0.166325558986111;3.53530866911484;1.69538431097735
Bureau Veritas;BVI;NEXT20;0;4.5775;0.419580447990961;0.66641937220161;0.340425557224312;0.341929717550489;0.0551314082503422;-0.0874104065745547;0.341332564418914;-0.848868841189979;0.376890996245532;1.13255363136083;0.605393018787484;0.350049480639448;0.223045554776503;0.566941809574918;0.874193968874023;12.3654989022927;0.376786715852355;0.359369192445237;0.224333585;0.356819197846113;-0.129655086459742;1.43379267226437;0.0199568165594395
Casino Guichard;CO;NEXT20;0;-21.82;0.379193579817023;0.314577608477703;0.442511850246876;0.478296526066035;0.503140183892863;1.98930104131915;0.328927360074443;-0.220262868735401;-0.199425468878368;0.559352056624259;0.456995239442629;0.364637119368938;0.473083350855762;0.229809970949701;2.49702952105578;2.00104026580673;0.328942537074713;1.52231941649309;0.308054964;-0.290352728801129;-0.0802713235589101;0.522599835283655;0.832210320293822
